Colorado State,11 - 20,189,
North Florida,14 - 17,190,
Valparaiso,13 - 18,191,
Louisiana,17 - 13,192,
William & Mary,13 - 17,193,
Richmond,13 - 20,194,
Cornell,13 - 16,195,
Columbia,8 - 18,196,
Charleston Southern,14 - 16,197,
Indiana State,13 - 16,198,
Illinois State,16 - 16,199,
Cal State Fullerton,14 - 18,200,
Rider,16 - 15,201,
Iona,17 - 16,202,
Fairleigh Dickinson,19 - 14,203,
Presbyterian College,17 - 16,204,
Prairie View A&M,21 - 13,205,
Washington State,11 - 21,206,
IUPUI,14 - 17,207,
Evansville,9 - 21,208,
Hampton,15 - 17,209,
Pacific,12 - 18,210,
Oakland,15 - 17,211,
Rice,11 - 19,212,
Appalachian State,8 - 21,213,
La Salle,10 - 21,214,
UIC,14 - 16,215,
Mercer,9 - 20,216,
Dartmouth,9 - 19,217,
Cal State Bakersfield,15 - 16,218,
Purdue Fort Wayne,15 - 15,219,
Lamar,16 - 13,220,
Green Bay,19 - 17,221,
North Dakota State,17 - 16,222,
Campbell,17 - 13,223,
UMass,11 - 21,224,
UMKC,10 - 21,225,
UMBC,18 - 13,226,
FGCU,12 - 18,227,
Boston University,14 - 18,228,
California,8 - 23,229,
Texas Southern,22 - 14,230,
South Dakota,11 - 17,231,
Holy Cross,16 - 17,232,
Drexel,12 - 19,233,
Long Beach State,13 - 19,234,
Detroit,11 - 20,235,
Little Rock,8 - 21,236,
South Alabama,15 - 17,237,
Delaware,15 - 16,238,
Army,12 - 19,239,
High Point,14 - 15,240,
Sacred Heart,14 - 17,241,
Air Force,13 - 18,242,
Fordham,11 - 20,243,
Quinnipiac,16 - 14,244,
Eastern Washington,15 - 18,245,
Montana State,14 - 17,246,
UC Davis,9 - 20,247,
Middle Tennessee,9 - 21,248,
Southeastern Louisiana,15 - 16,249,
Long Island,15 - 16,250,
Arkansas State,11 - 19,251,
James Madison,12 - 19,252,
Siena,17 - 16,253,
Saint Francis (NY),15 - 16,254,
Towson,9 - 22,255,
Troy,10 - 18,256,
UMass-Lowell,13 - 17,257,
East Carolina,10 - 21,258,
Eastern Kentucky,11 - 18,259,
Norfolk State,19 - 14,260,
Southern Utah,15 - 17,261,
Charlotte,8 - 21,262,
UNCW,9 - 23,263,
Morehead State,11 - 20,264,
Saint Francis (PA),16 - 15,265,
New Orleans,15 - 14,266,
Robert Morris,16 - 17,267,
Portland State,13 - 16,268,
Youngstown State,10 - 20,269,
Texas A&M-Corpus Christi,10 - 18,270,
Albany,11 - 20,271,
Sacramento State,12 - 16,272,
Cal State Northridge,12 - 21,273,
The Citadel,9 - 18,274,
Chattanooga,9 - 20,275,
Western Michigan,7 - 24,276,
Elon,9 - 21,277,
Marist,12 - 19,278,
Navy,12 - 19,279,
Lafayette,9 - 20,280,
Loyola-Maryland,11 - 21,281,
Canisius,15 - 17,282,
George Washington,9 - 24,283,
Cleveland State,8 - 21,284,
North Dakota,8 - 18,285,
Northern Arizona,10 - 21,286,
Monmouth,14 - 21,287,
UTEP,6 - 21,288,
Jacksonville,10 - 20,289,
Houston Baptist,10 - 18,290,
Longwood,13 - 18,291,
Fairfield,9 - 22,292,
Grambling,14 - 17,293,
North Carolina A&T,17 - 13,294,
Western Carolina,6 - 25,295,
Oral Roberts,9 - 21,296,
Central Arkansas,11 - 19,297,
Tulane,4 - 27,298,
Milwaukee,8 - 22,299,
Wagner,11 - 17,300,
Niagara,13 - 19,301,
North Carolina Central,15 - 16,302,
Western Illinois,8 - 21,303,
Bethune-Cookman,12 - 17,304,
VMI,8 - 21,305,
Howard,14 - 17,306,
Idaho State,9 - 19,307,
Eastern Illinois,13 - 18,308,
Stephen F. Austin,10 - 16,309,
North Alabama,7 - 22,310,
Tennessee-Martin,10 - 19,311,
Central Connecticut,9 - 20,312,
Nicholls State,10 - 17,313,
UC Riverside,7 - 23,314,
Florida A&M,10 - 19,315,
Tennessee State,7 - 21,316,
Saint Peter's,10 - 22,317,
Manhattan,11 - 21,318,
Mount Saint Mary's,7 - 22,319,
Southeast Missouri,8 - 21,320,
Wyoming,7 - 24,321,
Bryant,10 - 20,322,
Arkansas-Pine Bluff,12 - 19,323,
Denver,7 - 22,324,
Binghamton,8 - 23,325,
McNeese State,6 - 21,326,
Portland,5 - 25,327,
Jackson State,11 - 19,328,
SIUE,8 - 21,329,
Alabama State,10 - 19,330,
Tennessee Tech,6 - 23,331,
Cal Poly,4 - 23,332,
Morgan State,8 - 20,333,
Northwestern State,8 - 20,334,
Maine,4 - 27,335,
South Carolina State,6 - 26,336,
